title,authors,pdf
ArtAdapter: Text-to-Image Style Transfer using Multi-Level Style Encoder and Explicit Adaptation,"{Chen, Dar-Yen; Tennent, Hamish; Hsu, Ching-Wen}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Chen_ArtAdapter_Text-to-Image_Style_CVPR_2024_supplemental.pdf
GoodSAM: Bridging Domain and Capacity Gaps via Segment Anything Model for Distortion-aware Panoramic Semantic Segmentation,"{Zhang, Weiming; Liu, Yexin; Zheng, Xu; Wang, Lin}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Zhang_GoodSAM_Bridging_Domain_CVPR_2024_supplemental.pdf
DYSON: Dynamic Feature Space Self-Organization for Online Task-Free Class Incremental Learning,"{He, Yuhang; Chen, Yingjie; Jin, Yuhan; Dong, Songlin; Wei, Xing; Gong, Yihong}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/He_DYSON_Dynamic_Feature_CVPR_2024_supplemental.pdf
Streaming Dense Video Captioning,"{Zhou, Xingyi; Arnab, Anurag; Buch, Shyamal; Yan, Shen; Myers, Austin; Xiong, Xuehan; Nagrani, Arsha; Schmid, Cordelia}",https://openaccess.thecvf.com/content/CVPR2024/papers/Zhou_Streaming_Dense_Video_Captioning_CVPR_2024_paper.pdf
Rethinking Inductive Biases for Surface Normal Estimation,"{Bae, Gwangbin; Davison, Andrew J.}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Bae_Rethinking_Inductive_Biases_CVPR_2024_supplemental.pdf
Event-based Structure-from-Orbit,"{Elms, Ethan; Latif, Yasir; Park, Tae Ha; Chin, Tat-Jun}",https://openaccess.thecvf.com/content/CVPR2024/papers/Elms_Event-based_Structure-from-Orbit_CVPR_2024_paper.pdf
LED: A Large-scale Real-world Paired Dataset for Event Camera Denoising,"{Duan, Yuxing}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Duan_LED_A_Large-scale_CVPR_2024_supplemental.pdf
Fair Federated Learning under Domain Skew with Local Consistency and Domain Diversity,"{Chen, Yuhang; Huang, Wenke; Ye, Mang}",https://openaccess.thecvf.com/content/CVPR2024/papers/Chen_Fair_Federated_Learning_under_Domain_Skew_with_Local_Consistency_and_CVPR_2024_paper.pdf
Activity-Biometrics: Person Identification from Daily Activities,"{Azad, Shehreen; Rawat, Yogesh Singh}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Azad_Activity-Biometrics_Person_Identification_CVPR_2024_supplemental.pdf
Z*: Zero-shot Style Transfer via Attention Reweighting,"{Deng, Yingying; He, Xiangyu; Tang, Fan; Dong, Weiming}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Deng_Z_Zero-shot_Style_CVPR_2024_supplemental.pdf
HIG: Hierarchical Interlacement Graph Approach to Scene Graph Generation in Video Understanding,"{Nguyen, Trong-Thuan; Nguyen, Pha; Luu, Khoa}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Nguyen_HIG_Hierarchical_Interlacement_CVPR_2024_supplemental.pdf
OOSTraj: Out-of-Sight Trajectory Prediction With Vision-Positioning Denoising,"{Zhang, Haichao; Xu, Yi; Lu, Hongsheng; Shimizu, Takayuki; Fu, Yun}",https://openaccess.thecvf.com/content/CVPR2024/papers/Zhang_OOSTraj_Out-of-Sight_Trajectory_Prediction_With_Vision-Positioning_Denoising_CVPR_2024_paper.pdf
FADES: Fair Disentanglement with Sensitive Relevance,"{Jang, Taeuk; Wang, Xiaoqian}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Jang_FADES_Fair_Disentanglement_CVPR_2024_supplemental.pdf
Learning Continuous 3D Words for Text-to-Image Generation,"{Cheng, Ta-Ying; Gadelha, Matheus; Groueix, Thibault; Fisher, Matthew; Mech, Radomir; Markham, Andrew; Trigoni, Niki}",https://openaccess.thecvf.com/content/CVPR2024/papers/Cheng_Learning_Continuous_3D_Words_for_Text-to-Image_Generation_CVPR_2024_paper.pdf
MarkovGen: Structured Prediction for Efficient Text-to-Image Generation,"{Jayasumana, Sadeep; Glasner, Daniel; Ramalingam, Srikumar; Veit, Andreas; Chakrabarti, Ayan; Kumar, Sanjiv}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Jayasumana_MarkovGen_Structured_Prediction_CVPR_2024_supplemental.pdf
Self-Supervised Class-Agnostic Motion Prediction with Spatial and Temporal Consistency Regularizations,"{Wang, Kewei; Wu, Yizheng; Cen, Jun; Pan, Zhiyu; Li, Xingyi; Wang, Zhe; Cao, Zhiguo; Lin, Guosheng}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Wang_Self-Supervised_Class-Agnostic_Motion_CVPR_2024_supplemental.pdf
HashPoint: Accelerated Point Searching and Sampling for Neural Rendering,"{Ma, Jiahao; Liu, Miaomiao; Ahmedt-Aristizabal, David; Nguyen, Chuong}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Ma_HashPoint_Accelerated_Point_CVPR_2024_supplemental.pdf
MFP: Making Full Use of Probability Maps for Interactive Image Segmentation,"{Lee, Chaewon; Lee, Seon-Ho; Kim, Chang-Su}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Lee_MFP_Making_Full_CVPR_2024_supplemental.pdf
CAT: Exploiting Inter-Class Dynamics for Domain Adaptive Object Detection,"{Kennerley, Mikhail; Wang, Jian-Gang; Veeravalli, Bharadwaj; Tan, Robby T.}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Kennerley_CAT_Exploiting_Inter-Class_CVPR_2024_supplemental.pdf
StyLitGAN: Image-Based Relighting via Latent Control,"{Bhattad, Anand; Soole, James; Forsyth, D.A.}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Bhattad_StyLitGAN_Image-Based_Relighting_CVPR_2024_supplemental.pdf
An Empirical Study of Scaling Law for Scene Text Recognition,"{Rang, Miao; Bi, Zhenni; Liu, Chuanjian; Wang, Yunhe; Han, Kai}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Rang_An_Empirical_Study_CVPR_2024_supplemental.pdf
Text2Loc: 3D Point Cloud Localization from Natural Language,"{Xia, Yan; Shi, Letian; Ding, Zifeng; Henriques, Joao F.; Cremers, Daniel}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Xia_Text2Loc_3D_Point_CVPR_2024_supplemental.pdf
SVDinsTN: A Tensor Network Paradigm for Efficient Structure Search from Regularized Modeling Perspective,"{Zheng, Yu-Bang; Zhao, Xi-Le; Zeng, Junhua; Li, Chao; Zhao, Qibin; Li, Heng-Chao; Huang, Ting-Zhu}",https://openaccess.thecvf.com/content/CVPR2024/papers/Zheng_SVDinsTN_A_Tensor_Network_Paradigm_for_Efficient_Structure_Search_from_CVPR_2024_paper.pdf
Decomposing Disease Descriptions for Enhanced Pathology Detection: A Multi-Aspect Vision-Language Pre-training Framework,"{Phan, Vu Minh Hieu; Xie, Yutong; Qi, Yuankai; Liu, Lingqiao; Liu, Liyang; Zhang, Bowen; Liao, Zhibin; Wu, Qi; To, Minh-Son; Verjans, Johan W.}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Phan_Decomposing_Disease_Descriptions_CVPR_2024_supplemental.pdf
MoMask: Generative Masked Modeling of 3D Human Motions,"{Guo, Chuan; Mu, Yuxuan; Javed, Muhammad Gohar; Wang, Sen; Cheng, Li}",https://openaccess.thecvf.com/content/CVPR2024/papers/Guo_MoMask_Generative_Masked_Modeling_of_3D_Human_Motions_CVPR_2024_paper.pdf
Inverse Rendering of Glossy Objects via the Neural Plenoptic Function and Radiance Fields,"{Wang, Haoyuan; Hu, Wenbo; Zhu, Lei; Lau, Rynson W.H.}",https://openaccess.thecvf.com/content/CVPR2024/papers/Wang_Inverse_Rendering_of_Glossy_Objects_via_the_Neural_Plenoptic_Function_CVPR_2024_paper.pdf
Split to Merge: Unifying Separated Modalities for Unsupervised Domain Adaptation,"{Li, Xinyao; Li, Yuke; Du, Zhekai; Li, Fengling; Lu, Ke; Li, Jingjing}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Li_Split_to_Merge_CVPR_2024_supplemental.pdf
Fitting Flats to Flats,"{Dogadov, Gabriel; Finnendahl, Ugo; Alexa, Marc}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Dogadov_Fitting_Flats_to_CVPR_2024_supplemental.pdf
Fusing Personal and Environmental Cues for Identification and Segmentation of First-Person Camera Wearers in Third-Person Views,"{Zhao, Ziwei; Wang, Yuchen; Wang, Chuhua}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Zhao_Fusing_Personal_and_CVPR_2024_supplemental.pdf
Coupled Laplacian Eigenmaps for Locally-Aware 3D Rigid Point Cloud Matching,"{Bastico, Matteo; Decenci\`ere, Etienne; Cort\'e, Laurent; Tillier, Yannick; Ryckelynck, David}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Bastico_Coupled_Laplacian_Eigenmaps_CVPR_2024_supplemental.pdf
Overcoming Generic Knowledge Loss with Selective Parameter Update,"{Zhang, Wenxuan; Janson, Paul; Aljundi, Rahaf; Elhoseiny, Mohamed}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Zhang_Overcoming_Generic_Knowledge_CVPR_2024_supplemental.pdf
Desigen: A Pipeline for Controllable Design Template Generation,"{Weng, Haohan; Huang, Danqing; Qiao, Yu; Hu, Zheng; Lin, Chin-Yew; Zhang, Tong; Chen, C. L. Philip}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Weng_Desigen_A_Pipeline_CVPR_2024_supplemental.pdf
Diff-BGM: A Diffusion Model for Video Background Music Generation,"{Li, Sizhe; Qin, Yiming; Zheng, Minghang; Jin, Xin; Liu, Yang}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Li_Diff-BGM_A_Diffusion_CVPR_2024_supplemental.pdf
Looking Similar Sounding Different: Leveraging Counterfactual Cross-Modal Pairs for Audiovisual Representation Learning,"{Singh, Nikhil; Wu, Chih-Wei; Orife, Iroro; Kalayeh, Mahdi}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Singh_Looking_Similar_Sounding_CVPR_2024_supplemental.pdf
Multi-criteria Token Fusion with One-step-ahead Attention for Efficient Vision Transformers,"{Lee, Sanghyeok; Choi, Joonmyung; Kim, Hyunwoo J.}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Lee_Multi-criteria_Token_Fusion_CVPR_2024_supplemental.pdf
Towards HDR and HFR Video from Rolling-Mixed-Bit Spikings,"{Chang, Yakun; Xiaokaiti, Yeliduosi; Liu, Yujia; Fan, Bin; Huang, Zhaojun; Huang, Tiejun; Shi, Boxin}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Chang_Towards_HDR_and_CVPR_2024_supplemental.pdf
Scaling Up Video Summarization Pretraining with Large Language Models,"{Argaw, Dawit Mureja; Yoon, Seunghyun; Heilbron, Fabian Caba; Deilamsalehy, Hanieh; Bui, Trung; Wang, Zhaowen; Dernoncourt, Franck; Chung, Joon Son}",https://openaccess.thecvf.com/content/CVPR2024/papers/Argaw_Scaling_Up_Video_Summarization_Pretraining_with_Large_Language_Models_CVPR_2024_paper.pdf
Continuous Optical Zooming: A Benchmark for Arbitrary-Scale Image Super-Resolution in Real World,"{Fu, Huiyuan; Peng, Fei; Li, Xianwei; Li, Yejun; Wang, Xin; Ma, Huadong}",https://openaccess.thecvf.com/content/CVPR2024/papers/Fu_Continuous_Optical_Zooming_A_Benchmark_for_Arbitrary-Scale_Image_Super-Resolution_in_CVPR_2024_paper.pdf
Sharingan: A Transformer Architecture for Multi-Person Gaze Following,"{Tafasca, Samy; Gupta, Anshul; Odobez, Jean-Marc}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Tafasca_Sharingan_A_Transformer_CVPR_2024_supplemental.pdf
ViewFusion: Towards Multi-View Consistency via Interpolated Denoising,"{Yang, Xianghui; Zuo, Yan; Ramasinghe, Sameera; Bazzani, Loris; Avraham, Gil; van den Hengel, Anton}",https://openaccess.thecvf.com/content/CVPR2024/papers/Yang_ViewFusion_Towards_Multi-View_Consistency_via_Interpolated_Denoising_CVPR_2024_paper.pdf
SketchINR: A First Look into Sketches as Implicit Neural Representations,"{Bandyopadhyay, Hmrishav; Bhunia, Ayan Kumar; Chowdhury, Pinaki Nath; Sain, Aneeshan; Xiang, Tao; Hospedales, Timothy; Song, Yi-Zhe}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Bandyopadhyay_SketchINR_A_First_CVPR_2024_supplemental.pdf
Open-Vocabulary Segmentation with Semantic-Assisted Calibration,"{Liu, Yong; Bai, Sule; Li, Guanbin; Wang, Yitong; Tang, Yansong}",https://openaccess.thecvf.com/content/CVPR2024/papers/Liu_Open-Vocabulary_Segmentation_with_Semantic-Assisted_Calibration_CVPR_2024_paper.pdf
MatchU: Matching Unseen Objects for 6D Pose Estimation from RGB-D Images,"{Huang, Junwen; Yu, Hao; Yu, Kuan-Ting; Navab, Nassir; Ilic, Slobodan; Busam, Benjamin}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Huang_MatchU_Matching_Unseen_CVPR_2024_supplemental.pdf
Towards a Perceptual Evaluation Framework for Lighting Estimation,"{Giroux, Justine; Dastjerdi, Mohammad Reza Karimi; Hold-Geoffroy, Yannick; Vazquez-Corral, Javier; Lalonde, Jean-Fran\c{c}",https://openaccess.thecvf.com/content/CVPR2024/papers/Giroux_Towards_a_Perceptual_Evaluation_Framework_for_Lighting_Estimation_CVPR_2024_paper.pdf
Bridging the Synthetic-to-Authentic Gap: Distortion-Guided Unsupervised Domain Adaptation for Blind Image Quality Assessment,"{Li, Aobo; Wu, Jinjian; Liu, Yongxu; Li, Leida}",https://openaccess.thecvf.com/content/CVPR2024/papers/Li_Bridging_the_Synthetic-to-Authentic_Gap_Distortion-Guided_Unsupervised_Domain_Adaptation_for_Blind_CVPR_2024_paper.pdf
Coherent Temporal Synthesis for Incremental Action Segmentation,"{Ding, Guodong; Golong, Hans; Yao, Angela}",https://openaccess.thecvf.com/content/CVPR2024/papers/Ding_Coherent_Temporal_Synthesis_for_Incremental_Action_Segmentation_CVPR_2024_paper.pdf
HiFi4G: High-Fidelity Human Performance Rendering via Compact Gaussian Splatting,"{Jiang, Yuheng; Shen, Zhehao; Wang, Penghao; Su, Zhuo; Hong, Yu; Zhang, Yingliang; Yu, Jingyi; Xu, Lan}",https://openaccess.thecvf.com/content/CVPR2024/papers/Jiang_HiFi4G_High-Fidelity_Human_Performance_Rendering_via_Compact_Gaussian_Splatting_CVPR_2024_paper.pdf
G-FARS: Gradient-Field-based Auto-Regressive Sampling for 3D Part Grouping,"{Cheng, Junfeng; Stathaki, Tania}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Cheng_G-FARS_Gradient-Field-based_Auto-Regressive_CVPR_2024_supplemental.pdf
Towards High-fidelity Artistic Image Vectorization via Texture-Encapsulated Shape Parameterization,"{Chen, Ye; Ni, Bingbing; Liu, Jinfan; Huang, Xiaoyang; Chen, Xuanhong}",https://openaccess.thecvf.com/content/CVPR2024/papers/Chen_Towards_High-fidelity_Artistic_Image_Vectorization_via_Texture-Encapsulated_Shape_Parameterization_CVPR_2024_paper.pdf
On Exact Inversion of DPM-Solvers,"{Hong, Seongmin; Lee, Kyeonghyun; Jeon, Suh Yoon; Bae, Hyewon; Chun, Se Young}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Hong_On_Exact_Inversion_CVPR_2024_supplemental.pdf
EfficientSAM: Leveraged Masked Image Pretraining for Efficient Segment Anything,"{Xiong, Yunyang; Varadarajan, Bala; Wu, Lemeng; Xiang, Xiaoyu; Xiao, Fanyi; Zhu, Chenchen; Dai, Xiaoliang; Wang, Dilin; Sun, Fei; Iandola, Forrest; Krishnamoorthi, Raghuraman; Chandra, Vikas}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Xiong_EfficientSAM_Leveraged_Masked_CVPR_2024_supplemental.pdf
ChatScene: Knowledge-Enabled Safety-Critical Scenario Generation for Autonomous Vehicles,"{Zhang, Jiawei; Xu, Chejian; Li, Bo}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Zhang_ChatScene_Knowledge-Enabled_Safety-Critical_CVPR_2024_supplemental.pdf
CAMEL: CAusal Motion Enhancement Tailored for Lifting Text-driven Video Editing,"{Zhang, Guiwei; Zhang, Tianyu; Niu, Guanglin; Tan, Zichang; Bai, Yalong; Yang, Qing}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Zhang_CAMEL_CAusal_Motion_CVPR_2024_supplemental.pdf
Teeth-SEG: An Efficient Instance Segmentation Framework for Orthodontic Treatment based on Multi-Scale Aggregation and Anthropic Prior Knowledge,"{Zou, Bo; Wang, Shaofeng; Liu, Hao; Sun, Gaoyue; Wang, Yajie; Zuo, FeiFei; Quan, Chengbin; Zhao, Youjian}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Zou_Teeth-SEG_An_Efficient_CVPR_2024_supplemental.pdf
FocSAM: Delving Deeply into Focused Objects in Segmenting Anything,"{Huang, You; Lan, Zongyu; Cao, Liujuan; Lin, Xianming; Zhang, Shengchuan; Jiang, Guannan; Ji, Rongrong}",https://openaccess.thecvf.com/content/CVPR2024/papers/Huang_FocSAM_Delving_Deeply_into_Focused_Objects_in_Segmenting_Anything_CVPR_2024_paper.pdf
DMR: Decomposed Multi-Modality Representations for Frames and Events Fusion in Visual Reinforcement Learning,"{Xu, Haoran; Peng, Peixi; Tan, Guang; Li, Yuan; Xu, Xinhai; Tian, Yonghong}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Xu_DMR_Decomposed_Multi-Modality_CVPR_2024_supplemental.pdf
DiffuseMix: Label-Preserving Data Augmentation with Diffusion Models,"{Islam, Khawar; Zaheer, Muhammad Zaigham; Mahmood, Arif; Nandakumar, Karthik}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Islam_DiffuseMix_Label-Preserving_Data_CVPR_2024_supplemental.pdf
PRDP: Proximal Reward Difference Prediction for Large-Scale Reward Finetuning of Diffusion Models,"{Deng, Fei; Wang, Qifei; Wei, Wei; Hou, Tingbo; Grundmann, Matthias}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Deng_PRDP_Proximal_Reward_CVPR_2024_supplemental.pdf
FREE: Faster and Better Data-Free Meta-Learning,"{Wei, Yongxian; Hu, Zixuan; Wang, Zhenyi; Shen, Li; Yuan, Chun; Tao, Dacheng}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Wei_FREE_Faster_and_CVPR_2024_supplemental.pdf
Bayesian Diffusion Models for 3D Shape Reconstruction,"{Xu, Haiyang; Lei, Yu; Chen, Zeyuan; Zhang, Xiang; Zhao, Yue; Wang, Yilin; Tu, Zhuowen}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Xu_Bayesian_Diffusion_Models_CVPR_2024_supplemental.pdf
Task-Customized Mixture of Adapters for General Image Fusion,"{Zhu, Pengfei; Sun, Yang; Cao, Bing; Hu, Qinghua}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Zhu_Task-Customized_Mixture_of_CVPR_2024_supplemental.pdf
Bi-SSC: Geometric-Semantic Bidirectional Fusion for Camera-based 3D Semantic Scene Completion,"{Xue, Yujie; Li, Ruihui; Wu, Fan; Tang, Zhuo; Li, Kenli; Duan, Mingxing}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Xue_Bi-SSC_Geometric-Semantic_Bidirectional_CVPR_2024_supplemental.pdf
CrossKD: Cross-Head Knowledge Distillation for Object Detection,"{Wang, Jiabao; Chen, Yuming; Zheng, Zhaohui; Li, Xiang; Cheng, Ming-Ming; Hou, Qibin}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Wang_CrossKD_Cross-Head_Knowledge_CVPR_2024_supplemental.pdf
Bi-level Learning of Task-Specific Decoders for Joint Registration and One-Shot Medical Image Segmentation,"{Fan, Xin; Wang, Xiaolin; Gao, Jiaxin; Wang, Jia; Luo, Zhongxuan; Liu, Risheng}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Fan_Bi-level_Learning_of_CVPR_2024_supplemental.pdf
Parameter Efficient Self-Supervised Geospatial Domain Adaptation,"{Scheibenreif, Linus; Mommert, Michael; Borth, Damian}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Scheibenreif_Parameter_Efficient_Self-Supervised_CVPR_2024_supplemental.pdf
Defense without Forgetting: Continual Adversarial Defense with Anisotropic \& Isotropic Pseudo Replay,"{Zhou, Yuhang; Hua, Zhongyun}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Zhou_Defense_without_Forgetting_CVPR_2024_supplemental.pdf
EscherNet: A Generative Model for Scalable View Synthesis,"{Kong, Xin; Liu, Shikun; Lyu, Xiaoyang; Taher, Marwan; Qi, Xiaojuan; Davison, Andrew J.}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Kong_EscherNet_A_Generative_CVPR_2024_supplemental.pdf
MeaCap: Memory-Augmented Zero-shot Image Captioning,"{Zeng, Zequn; Xie, Yan; Zhang, Hao; Chen, Chiyu; Chen, Bo; Wang, Zhengjue}",https://openaccess.thecvf.com/content/CVPR2024/supplemental/Zeng_MeaCap_Memory-Augmented_Zero-shot_CVPR_2024_supplemental.pdf
